assignee,sku,lot_number,location,pallet_id,counted_qty,expected_qty,variance,variance_flag,timestamp,note,issue_type,actual_pallet_id,actual_lot_number
Carlos,G0HCS001209,7226893,11300204,8300017662,15,15,0,Match,10/27/2025 12:42,,,,
Carlos,G0HCS001209,7226893,11803003,8300122488,15,15,0,Match,10/27/2025 12:47,,,,
Carlos,G0HCS001209,7226893,E006,8300019162,15,15,0,Match,10/27/2025 13:22,,,,
Carlos,G0HCS001209,7226893,E007,8300013316,12,12,0,Match,10/27/2025 13:23,No damages,,,
Carlos,G0HCS001209,7226893,E018,8300013261,15,15,0,Match,10/27/2025 13:23,,,,
Carlos,G0HCS001209,7226893,E053,8300017686,15,15,0,Match,10/27/2025 13:33,Scuffs but not damaged,,,
Carlos,G0HCS001209,7226893,E056,8300019072,15,15,0,Match,10/27/2025 13:34,No damages,,,
Carlos,G0HCS001209,7226893,E060,8300017550,15,15,0,Match,10/27/2025 13:37,,,,
Carlos,G0HCS001209,7226893,F054,8300019019,15,15,0,Match,10/27/2025 13:39,,,,
Carlos,G0HCS001209,7226893,F050,8300017612,15,15,0,Match,10/27/2025 13:40,,,,
Carlos,G0HCS001209,7226893,F049,8300013271,15,15,0,Match,10/27/2025 13:40,,,,
Carlos,G0HCS001209,7226893,F037,8300017606,15,15,0,Match,10/27/2025 13:42,No damages,,,
Carlos,G0HCS001209,7226893,G060,8300122489,15,15,0,Match,10/27/2025 13:48,,,,
Carlos,G0HCS001209,7226893,H042,8300019201,15,15,0,Match,10/27/2025 13:49,,,,
Carlos,G1HCS000667,9055578,12304601,2720,3,3,0,Match,10/27/2025 12:53,,,,
Carlos,G1HCS000667,9055578,F015,2716,6,6,0,Match,10/27/2025 13:44,No damages,,,
Carlos,G60CS000329,9062717,11601403,8304177790,15,15,0,Match,10/27/2025 12:44,,,,
Carlos,G60CS000329,9062717,A055,8304177939,15,15,0,Match,10/27/2025 13:06,,,,
Carlos,G60CS000329,9062717,C039,8304177955,15,15,0,Match,10/27/2025 13:14,No damages,,,
Carlos,G60CS000329,9062717,E021,8304177771,15,15,0,Match,10/27/2025 13:25,No damages,,,
Carlos,G60CS000329,9062717,F050,8304177500,15,15,0,Match,10/27/2025 13:40,,,,
Carlos,G60CS000329,9062717,F004,8304177794,15,15,0,Match,10/27/2025 13:45,No damages,,,
Carlos,G0HCS000994,9062764,E049,8304173445,13,13,0,Match,10/27/2025 13:31,No damages,,,
Carlos,G0HCS000994,9062764,F051,8304173370,15,15,0,Match,10/27/2025 13:39,,,,
Carlos,10001616,9063261,12303202,8304177872,15,15,0,Match,10/27/2025 12:52,,,,
Carlos,10001616,9063261,12304704,8304177724,7,7,0,Match,10/27/2025 12:53,,,,
Carlos,10001616,9063261,C059,8304177883,15,15,0,Match,10/27/2025 13:16,No damages,,,
Carlos,10001616,9063261,D056,8304177888,15,15,0,Match,10/27/2025 13:17,,,,
Carlos,10001616,9063261,E032,8304177906,7,7,0,Match,10/27/2025 13:28,No damages,,,
Carlos,10001616,9063261,E042,8304181065,15,15,0,Match,10/27/2025 13:29,No damages,,,
Carlos,10001616,9063261,E060,8304177740,15,15,0,Match,10/27/2025 13:36,No damages,,,
Carlos,10001616,9063262,D018,8304181120,15,15,0,Match,10/27/2025 13:20,,,,
Carlos,10000263,9063312,11303003,8304175416,15,15,0,Match,10/27/2025 12:42,,,,
Carlos,10000263,9063312,12302603,8304175284,15,15,0,Match,10/27/2025 12:51,,,,
Carlos,10000263,9063312,C014,8304175346,15,15,0,Match,10/27/2025 13:10,,,,
Carlos,10000263,9063312,C031,8304175199,15,15,0,Match,10/27/2025 13:12,,,,
Carlos,10000263,9063312,F034,8304175082,15,15,0,Match,10/27/2025 13:42,,,,
Carlos,10000263,9063312,H026,8304175061,15,15,0,Match,10/27/2025 13:50,,,,
Carlos,10000263,9063692,H036,8304183007,15,15,0,Match,10/27/2025 13:49,,,,
Carlos,10000263,9063692,H030,8304183219,15,15,0,Match,10/27/2025 13:50,,,,
Carlos,10000263,9063717,12100302,8304173857,15,15,0,Match,10/27/2025 12:49,,,,
Carlos,10000263,9063717,C027,8304173740,15,15,0,Match,10/27/2025 13:11,,,,
Carlos,10000263,9063717,C028,8304173751,15,15,0,Match,10/27/2025 13:11,,,,
Carlos,10000263,9063717,C050,8304173914,15,15,0,Match,10/27/2025 13:14,,,,
Carlos,10000263,9063717,E061,8304173789,15,15,0,Match,10/27/2025 13:37,,,,
Carlos,10000263,9063717,F026,8304175051,15,15,0,Match,10/27/2025 13:43,,,,
Carlos,10000263,9063718,C036,8304175265,15,15,0,Match,10/27/2025 13:13,,,,
Carlos,10000263,9063718,C062,8304175342,15,15,0,Match,10/27/2025 13:16,,,,
Carlos,10000263,9063718,E045,8304175216,15,15,0,Match,10/27/2025 13:29,,,,
Carlos,10000263,9063718,F045,8304175213,15,15,0,Match,10/27/2025 13:41,,,,
Carlos,10000263,9063727,12002203,8304175525,6,6,0,Match,10/27/2025 12:48,,,,
Carlos,10000263,9063727,F042,8304175380,15,15,0,Match,10/27/2025 13:42,,,,
Carlos,10000263,9063727,F011,8304175676,15,15,0,Match,10/27/2025 13:44,,,,
Carlos,10000263,9063727,TUN12005,8304175543,15,15,0,Match,10/27/2025 13:55,No damages,,,
Carlos,10000263,9063727,TUN12005,8304175543,15,15,0,Match,10/27/2025 13:57,No damages,,,
Carlos,10000263,9063730,11100502,8304183493,15,15,0,Match,10/27/2025 12:40,,,,
Carlos,10000263,9063730,11703102,8304183647,15,15,0,Match,10/27/2025 12:46,,,,
Carlos,10000263,9063730,12200903,8304183415,15,15,0,Match,10/27/2025 12:49,,,,
Carlos,10000263,9063730,C059,8304183756,15,15,0,Match,10/27/2025 13:15,,,,
Carlos,10000263,9063730,E031,8304183513,15,15,0,Match,10/27/2025 13:27,No damages,,,
Carlos,10000263,9063730,E049,8304183758,15,15,0,Match,10/27/2025 13:30,No damages,,,
Carlos,10000263,9063730,F048,8304183632,15,15,0,Match,10/27/2025 13:40,,,,
Carlos,10000263,9063844,D034,8304175151,10,10,0,Match,10/27/2025 13:19,,,,
Carlos,10000263,9063844,E060,8304173770,15,15,0,Match,10/27/2025 13:35,,,,
Carlos,10000263,9063844,F062,8304175068,15,15,0,Match,10/27/2025 13:38,No damages,,,
Carlos,10000263,9063844,H062,8304173940,15,15,0,Match,10/27/2025 13:48,,,,
Carlos,10000263,9063844,H056,8304173855,15,15,0,Match,10/27/2025 13:48,,,,
Carlos,10000190,9064160,11400201,8304177162,5,5,0,Match,10/27/2025 12:43,,,,
Carlos,10000190,9064160,C030,8304177433,14,14,0,Match,10/27/2025 13:12,,,,
Carlos,10000190,9064160,D036,8304177432,15,15,0,Match,10/27/2025 13:19,,,,
Carlos,10000190,9064161,C010,8304177652,15,15,0,Match,10/27/2025 13:09,,,,
Carlos,10000190,9064161,C017,8304177571,15,15,0,Match,10/27/2025 13:10,,,,
Carlos,10000190,9064161,D012,8304177656,15,15,0,Match,10/27/2025 13:21,No damages,,,
Carlos,10000190,9064161,E049,8304177578,15,15,0,Match,10/27/2025 13:30,No damages,,,
Carlos,10000190,9064220,I033,8304177427,15,15,0,Match,10/27/2025 13:52,No damages,,,
Carlos,10000190,9064265,I033,8304177428,15,15,0,Match,10/27/2025 13:52,,,,
Carlos,10000190,9064267,I032,8304177424,15,15,0,Match,10/27/2025 13:51,No damages,,,
Carlos,10000190,9064267,I063,8304177164,15,15,0,Match,10/27/2025 13:53,No damages,,,
